Clock frequency is approx. 2445.4 MHz
Memory mountain (MB/sec)
        s1      s2      s3      s4      s5      s6      s7      s8      s9      s10     s11     s12     s13     s14     s15
128m    19731   11596   8502    6721    5256    4038    3350    2916    2683    2426    2284    2241    2300    2404    2395
64m     20200   11464   8743    7402    6217    5259    4539    3869    3711    3381    3430    3510    3494    3592    3684
32m     26043   18673   14312   11976   8909    7588    6821    6878    6339    6005    5664    5855    5795    5860    6136
16m     42623   30706   20508   15445   12343   10344   8831    7746    6375    6439    6136    6159    6032    6169    6231
8m      42617   30663   20519   15402   12321   10289   8817    7709    6947    6481    6178    6154    6041    6180    6176
4m      42533   30554   20420   15389   12436   10331   8831    7761    6971    6526    6241    6157    6101    6181    6235
2m      40363   30496   20450   15301   12317   10249   8383    7655    7093    6662    6367    6268    6125    5924    5781
1024k   42305   28272   18991   15528   11900   10371   8873    7820    7268    6823    6753    6878    7081    7620    8104
512k    40163   33205   26796   20866   17102   14251   12439   11031   10828   11016   11299   11416   11770   12058   12284
256k    42894   36444   31831   24683   20127   16967   14431   12629   12694   12702   12584   12602   12656   12715   12640
128k    44047   37594   34069   25758   20599   17171   14718   12776   12751   12704   12652   12676   12579   12804   12644
64k     43609   37603   33534   25552   20773   17034   14837   12983   13218   13082   13513   13627   13977   17318   31149
32k     43621   39867   38934   38975   36338   36388   35997   31498   33091   32699   33102   34061   31441   38927   31233
16k     41954   37167   38934   37236   32699   38814   38927   29288   30277   32833   29604   27138   31441   29195   27249
